,delay,id,social_status
0,26,1,SUB
1,31,1,SUB
2,0,2,SUB
3,0,2,SUB
4,23,2,SUB
5,9,3,SUB
6,19,4,SUB
7,0,4,SUB
8,0,4,SUB
9,91,5,SUB
10,34,5,SUB
11,41,6,SUB
12,8,7,SUB
13,9,7,SUB
14,0,7,SUB
15,17,9,SUB
16,0,0,SUB
17,18,2,SUB
18,0,2,SUB
19,0,2,SUB
20,0,2,SUB
21,0,3,SUB
22,0,3,SUB
23,18,4,SUB
24,0,4,SUB
25,1,4,SUB
26,0,4,SUB
27,0,5,SUB
28,0,5,SUB
29,4,6,SUB
30,35,6,SUB
31,24,6,SUB
32,10,6,SUB
33,14,6,SUB
34,29,6,SUB
35,39,7,SUB
36,3,7,SUB
37,7,7,SUB
38,0,7,SUB
39,0,9,SUB
40,5,9,SUB
41,51,9,SUB
42,30,9,SUB
43,17,1,SUB
44,36,1,SUB
45,38,2,SUB
46,25,2,SUB
47,32,2,SUB
48,0,2,SUB
49,29,3,SUB
50,11,3,SUB
51,0,4,SUB
52,11,4,SUB
53,0,5,SUB
54,0,5,SUB
55,0,5,SUB
56,0,5,SUB
57,0,6,SUB
58,5,6,SUB
59,3,6,SUB
60,0,7,SUB
61,15,9,SUB
62,0,9,SUB
63,14,9,SUB
64,37,9,SUB
65,28,9,SUB
66,26,9,SUB
67,0,9,SUB
68,3,0,SUB
69,0,0,SUB
70,1,0,SUB
71,5,0,SUB
72,0,0,SUB
73,0,0,SUB
74,1,1,SUB
75,0,1,SUB
76,4,1,SUB
77,2,1,SUB
78,0,2,SUB
79,0,2,SUB
80,0,2,SUB
81,73,2,SUB
82,0,2,SUB
83,0,3,SUB
84,0,4,SUB
85,1,4,SUB
86,6,5,SUB
87,11,5,SUB
88,28,5,SUB
89,8,5,SUB
90,2,5,SUB
91,5,5,SUB
92,87,5,SUB
93,16,5,SUB
94,0,6,SUB
95,0,6,SUB
96,0,6,SUB
97,0,8,SUB
98,15,8,SUB
99,0,8,SUB
100,1,9,SUB
101,0,9,SUB
102,24,0,SUB
103,9,1,SUB
104,12,1,SUB
105,0,1,SUB
106,5,1,SUB
107,0,2,SUB
108,47,2,SUB
109,4,2,SUB
110,0,3,SUB
111,12,3,SUB
112,0,3,SUB
113,0,3,SUB
114,0,4,SUB
115,34,4,SUB
116,0,5,SUB
117,29,5,SUB
118,0,5,SUB
119,14,5,SUB
120,5,5,SUB
121,47,6,SUB
122,6,6,SUB
123,0,6,SUB
124,6,8,SUB
125,2,8,SUB
126,6,8,SUB
127,0,8,SUB
128,0,9,SUB
129,0,9,SUB
130,9,9,SUB
131,0,0,SUB
132,22,0,SUB
133,0,0,SUB
134,0,0,SUB
135,31,0,SUB
136,37,0,SUB
137,71,0,SUB
138,40,0,SUB
139,0,0,SUB
140,87,0,SUB
141,0,1,SUB
142,0,3,SUB
143,22,3,SUB
144,0,4,SUB
145,0,4,SUB
146,0,4,SUB
147,0,4,SUB
148,3,5,SUB
149,0,5,SUB
150,1,5,SUB
151,0,6,SUB
152,0,6,SUB
153,13,6,SUB
154,21,7,SUB
155,15,7,SUB
156,52,7,SUB
157,0,7,SUB
158,3,8,SUB
159,9,8,SUB
160,0,8,SUB
161,21,8,SUB
162,87,8,SUB
163,0,8,SUB
164,0,0,DOM
165,0,0,DOM
166,0,0,DOM
167,0,0,DOM
168,0,0,DOM
169,0,0,DOM
170,0,8,DOM
171,0,8,DOM
172,0,8,DOM
173,0,8,DOM
174,0,8,DOM
175,5,8,DOM
176,0,8,DOM
177,0,8,DOM
178,12,8,DOM
179,0,0,DOM
180,23,0,DOM
181,35,0,DOM
182,0,0,DOM
183,0,0,DOM
184,0,0,DOM
185,0,0,DOM
186,0,0,DOM
187,0,0,DOM
188,7,0,DOM
189,0,0,DOM
190,0,0,DOM
191,0,0,DOM
192,0,0,DOM
193,37,0,DOM
194,0,7,DOM
195,74,7,DOM
196,13,7,DOM
197,0,7,DOM
198,12,7,DOM
199,0,7,DOM
200,0,7,DOM
201,0,7,DOM
202,22,7,DOM
203,0,7,DOM
204,13,7,DOM
205,0,7,DOM
206,1,7,DOM
207,0,7,DOM
208,0,7,DOM
209,0,7,DOM
210,6,7,DOM
211,2,7,DOM
212,0,7,DOM
213,0,7,DOM
214,13,7,DOM
215,0,7,DOM
216,0,7,DOM
217,0,7,DOM
218,0,7,DOM
219,39,9,DOM
220,0,9,DOM
221,7,9,DOM
222,0,9,DOM
223,3,9,DOM
224,0,9,DOM
225,0,9,DOM
226,0,9,DOM
227,0,9,DOM
228,5,9,DOM
229,0,9,DOM
230,37,9,DOM
231,0,9,DOM
