REPLICATE,STATUS,DEMONSTRATOR,TRIAL,7 RESPOND TWICE,SURVIVAL
1,0,0,20,0,0
1,1,1,18,1,1
1,2,1,5,1,1
1,3,1,6,1,1
2,0,0,17,1,1
2,1,1,7,1,1
2,2,1,7,1,1
2,3,1,8,1,1
3,0,0,19,1,1
3,1,1,20,0,0
3,2,1,15,1,1
3,3,1,20,0,0
4,0,0,18,1,1
4,1,1,14,1,1
4,2,1,15,1,1
4,3,1,20,0,0
5,0,0,17,1,1
5,1,1,17,1,1
5,2,1,9,1,1
5,3,1,19,1,1
6,0,0,20,0,0
6,1,1,20,1,1
6,2,1,5,1,1
6,3,1,7,1,1
7,0,0,19,1,1
7,1,1,15,1,1
7,2,1,5,1,1
7,3,1,16,1,1
2,4,2,14,1,1
3,4,2,8,1,1
3,5,2,7,1,1
4,4,2,20,0,0
4,5,2,16,1,1
5,4,2,12,1,1
5,5,2,15,1,1
6,4,2,9,1,1
6,5,2,7,1,1
7,5,2,7,1,1
8,4,2,20,0,0
8,5,2,4,1,1
